"Code de la région","Libellé de la région","Inscrits","Abstentions","Exprimés","Blancs","Nuls","MACRON","LE PEN","NbCandMACRON","NbCandLE PEN","MACRON.ins","LE PEN.ins","MACRON.exp","LE PEN.exp"
44,"Grand Est",3873152,956184,2590008,249400,77560,1500652,1089356,1,1,38.74498083214911,28.125826200469284,57.940052694817936,42.05994730518207
75,"Nouvelle-Aquitaine",4329082,958841,2929305,312962,127974,2011068,918237,1,1,46.454837307309035,21.210894134137444,68.65341779022668,31.34658220977331
84,"Auvergne et Rhône-Alpes",5414461,1272754,3652917,371585,117205,2452191,1200726,1,1,45.28966041125793,22.176279411745696,67.12966651035323,32.87033348964677
27,"Bourgogne-Franche-Comté",2001305,453202,1348644,145595,53864,815709,532935,1,1,40.75885484721219,26.629374333247558,60.48364134641907,39.51635865358093
53,"Bretagne",2453233,498305,1726688,171610,56630,1301226,425462,1,1,53.041272475953164,17.34291035543709,75.35964806612428,24.64035193387572
24,"Centre-Val de Loire",1827599,425870,1228723,129941,43065,777973,450750,1,1,42.56803598601225,24.663506600736813,63.315572346248906,36.68442765375109
11,"Île-de-France",7194953,1820241,4858965,406994,108753,3825279,1033686,1,1,53.16614298939827,14.366820742261972,78.72621021143391,21.273789788566084
76,"Occitanie",4193817,976955,2793669,299768,123425,1759816,1033853,1,1,41.96215523948708,24.65183864722757,62.99300310809907,37.00699689190094
32,"Hauts-de-France",4241543,1060184,2828570,252110,100679,1497401,1331169,1,1,35.30321394832022,31.384074144715733,52.938445928508045,47.061554071491955
28,"Normandie",2397069,546769,1633534,165820,50946,1012062,621472,1,1,42.22081216685878,25.92632919619752,61.955367932347905,38.044632067652095
52,"Pays de la Loire",2705034,580190,1864549,190588,69707,1350276,514273,1,1,49.91715446090511,19.011701886187012,72.41837034049522,27.58162965950479
93,"Provence-Alpes-Côte d'Azur",3565160,912932,2355752,227813,68663,1306636,1049116,1,1,36.65013631926758,29.42689809153025,55.46577059045264,44.53422940954736
94,"Corse",233633,84151,129801,12537,7144,66819,62982,1,1,28.5999837351744,26.95766437104347,51.47803175630388,48.521968243696115
1,"Guadeloupe",316062,160452,133945,10321,11344,100635,33310,1,1,31.84027184539742,10.539071448007038,75.13158385904663,24.868416140953375
2,"Martinique",310673,154539,134502,12716,8916,104307,30195,1,1,33.57453013296939,9.719222462203025,77.55051969487442,22.449480305125576
3,"Guyane",92601,53916,33546,3570,1569,21769,11777,1,1,23.508385438602176,12.718005205127374,64.89298276992787,35.10701723007214
4,"La Réunion",639391,237141,351998,26385,23867,212081,139917,1,1,33.16921883479749,21.88285415340535,60.250626424013774,39.74937357598623
6,"Mayotte",82482,44759,33514,1442,2767,19140,14374,1,1,23.205062922819526,17.426832521034893,57.11046129975532,42.88953870024467
