"CodeCirco","Département","NumeroCirco","Circonscription","Inscrits","Abstentions","Abstentions_ins","Votants","Votants_ins","Blancs","Blancs_ins","Blancs_vot","Nuls","Nuls_ins","Nuls_vot","Exprimés","Exprimés_ins","Exprimés_vot","MACRON","LE PEN","MACRON.ins","LE PEN.ins","MACRON.exp","LE PEN.exp"
"0101","Ain","01","1ère circonscription",85742,20298,23.6733456182501,65444,76.3266543817499,4020,4.688484056821627,6.142656316851048,1229,1.4333698770730798,1.8779414461218753,60195,70.20480044785519,91.97940223702707,32671,27524,38.1038464229899,32.10095402486529,54.27527203256084,45.72472796743916
"0102","Ain","02","2ème circonscription",99419,23236,23.37179010048381,76183,76.6282098995162,4430,4.455888713424999,5.814945591536169,1189,1.1959484605558295,1.5607156452226874,70564,70.97637272553537,92.62433876324114,38957,31607,39.18466289139903,31.791709834136334,55.20803809307863,44.79196190692137
"0103","Ain","03","3ème circonscription",81519,23138,28.383567021185247,58381,71.61643297881476,3478,4.266490020731363,5.957417653003546,880,1.0795029379653824,1.5073397166886489,54023,66.270440020118,92.5352426303078,33838,20185,41.50934138053705,24.761098639580954,62.636284545471376,37.36371545452863
"0104","Ain","04","4ème circonscription",94396,21870,23.168354591296243,72526,76.83164540870376,4082,4.324335776939701,5.62832639329344,1324,1.4026018051612357,1.8255522157571078,67120,71.10470782660282,92.54612139094945,35212,31908,37.302428068985975,33.80227975761685,52.461263408820024,47.538736591179976
"0105","Ain","05","5ème circonscription",77174,21026,27.244927047969526,56148,72.75507295203047,3792,4.913571928369658,6.753579824748877,1253,1.6236038043900793,2.2316021942010402,51103,66.21789721927074,91.01481798105007,25957,25146,33.63438463731308,32.58351258195765,50.793495489501595,49.206504510498405
"0201","Aisne","01","1ère circonscription",72238,17667,24.45665716105097,54571,75.54334283894903,3056,4.2304604224923175,5.6000439794029795,1173,1.6237991085024501,2.1494933206281726,50342,69.68908330795426,92.25046269996885,20027,30315,27.723635759572524,41.96544754838174,39.78189185967979,60.21810814032021
"0202","Aisne","02","2ème circonscription",73137,19968,27.302186307887936,53169,72.69781369211206,2860,3.910469393056866,5.379074272602456,1174,1.6052066669401261,2.208053565047302,49135,67.18213763211507,92.41287216235024,21401,27734,29.261522895388108,37.92061473672697,43.55551032868627,56.444489671313725
"0203","Aisne","03","3ème circonscription",66577,16306,24.491941661534764,50271,75.50805833846523,2112,3.1722666987097643,4.201229336993495,1036,1.55609294501104,2.060830299775218,47123,70.77969869474443,93.73794036323129,16281,30842,24.45439115610496,46.32530753863947,34.55000742737092,65.44999257262909
"0204","Aisne","04","4ème circonscription",78708,22739,28.89032881028612,55969,71.10967118971388,2954,3.753112771255781,5.277921706659043,1118,1.420440107740001,1.997534349371974,51897,65.9361183107181,92.72454394396898,21104,30793,26.813030441632364,39.12308786908573,40.665163689615966,59.334836310384034
"0205","Aisne","05","5ème circonscription",82961,21285,25.656633839997106,61676,74.34336616000289,3483,4.198358264726799,5.647253388676308,1193,1.4380250961295067,1.9343018353978856,57000,68.70698279914659,92.4184447759258,23615,33385,28.465182435120116,40.24180036402647,41.429824561403514,58.57017543859649
